Date UTC;HR (%)
15/05/99 06h00;94
15/05/99 09h00;82
15/05/99 12h00;56
15/05/99 15h00;82
15/05/99 18h00;77
15/05/99 21h00;88
16/05/99 00h00;94
16/05/99 03h00;93
16/05/99 06h00;94
16/05/99 09h00;68
16/05/99 12h00;53
16/05/99 15h00;46
16/05/99 18h00;49
16/05/99 21h00;64
17/05/99 00h00;88
17/05/99 03h00;94
17/05/99 06h00;88
17/05/99 09h00;94
17/05/99 12h00;82
17/05/99 15h00;73
17/05/99 18h00;68
17/05/99 21h00;82
18/05/99 00h00;88
18/05/99 03h00;88
18/05/99 06h00;94
18/05/99 09h00;72
18/05/99 12h00;82
18/05/99 15h00;82
18/05/99 18h00;72
18/05/99 21h00;88
19/05/99 00h00;88
19/05/99 03h00;94
19/05/99 06h00;94
19/05/99 09h00;72
19/05/99 12h00;88
19/05/99 15h00;72
19/05/99 18h00;68
19/05/99 21h00;94
20/05/99 00h00;88
20/05/99 03h00;94
20/05/99 06h00;94
20/05/99 09h00;88
20/05/99 12h00;82
20/05/99 15h00;67
20/05/99 18h00;88
20/05/99 21h00;94
21/05/99 00h00;88
21/05/99 03h00;94
21/05/99 06h00;88
21/05/99 09h00;77
21/05/99 12h00;72
21/05/99 15h00;68
21/05/99 18h00;77
21/05/99 21h00;82
22/05/99 00h00;82
22/05/99 03h00;82
22/05/99 06h00;94
22/05/99 09h00;94
22/05/99 12h00;88
22/05/99 15h00;88
22/05/99 18h00;94
22/05/99 21h00;100
23/05/99 00h0023/05/99 03h00;94
23/05/99 06h00;94
23/05/99 09h00;77
23/05/99 12h00;64
23/05/99 15h00;53
23/05/99 18h00;68
23/05/99 21h00;82
24/05/99 00h00;94
24/05/99 03h00;94
24/05/99 06h00;94
24/05/99 09h00;60
24/05/99 12h00;44
24/05/99 15h00;44
24/05/99 18h0024/05/99 21h00;68
25/05/99 00h00;77
25/05/99 03h00;88
25/05/99 06h00;94
25/05/99 09h00;69
25/05/99 12h00;47
25/05/99 15h00;45
25/05/99 18h00;50
25/05/99 21h00;73
26/05/99 00h00;82
26/05/99 03h00;82
26/05/99 06h00;82
26/05/99 09h00;61
26/05/99 12h00;51
26/05/99 15h00;40
26/05/99 18h00;42
26/05/99 21h00;61
27/05/99 00h00;65
27/05/99 03h00;64
27/05/99 06h00;73
27/05/99 09h00;65
27/05/99 12h00;54
27/05/99 15h00;65
27/05/99 18h00;73
27/05/99 21h00;88
28/05/99 00h00;94
28/05/99 03h00;88
28/05/99 06h00;88
28/05/99 09h00;69
28/05/99 12h00;54
28/05/99 15h00;48
28/05/99 18h00;51
28/05/99 21h0029/05/99 00h00;68
29/05/99 03h00;68
29/05/99 06h00;73
29/05/99 09h00;69
29/05/99 12h00;54
29/05/99 15h00;48
29/05/99 18h00;61
29/05/99 21h00;73
30/05/99 00h00;78
30/05/99 03h00;83
30/05/99 06h00;83
30/05/99 09h00;54
30/05/99 12h00;35
30/05/99 15h00;25
30/05/99 18h00;61
30/05/99 21h00;78
31/05/99 00h00;78
31/05/99 03h00;82
31/05/99 06h00;88
31/05/99 09h00;69
31/05/99 12h00;62
31/05/99 15h00;58
31/05/99 18h00;62
31/05/99 21h00;69
01/06/99 00h00;65
01/06/99 03h00;88
01/06/99 06h00;78
01/06/99 09h00;61
01/06/99 12h00;65
01/06/99 15h00;70
01/06/99 18h00;54
01/06/99 21h00;88
02/06/99 00h00;94
02/06/99 03h00;94
02/06/99 06h00;94
02/06/99 09h00;68
02/06/99 12h00;64
02/06/99 15h00;73
02/06/99 18h00;60
02/06/99 21h00;82
03/06/99 00h00;94
03/06/99 03h00;88
03/06/99 06h00;77
03/06/99 09h00;60
03/06/99 12h00;68
03/06/99 15h00;82
03/06/99 18h00;64
03/06/99 21h00;82
04/06/99 00h00;88
04/06/99 03h00;94
04/06/99 06h00;88
04/06/99 09h0004/06/99 12h00;73
04/06/99 15h00;73
04/06/99 18h00;73
04/06/99 21h00;88
05/06/99 00h00;88
05/06/99 03h00;94
05/06/99 06h00;94
05/06/99 09h00;94
05/06/99 12h00;94
05/06/99 15h00;94
05/06/99 18h00;94
05/06/99 21h00;94
06/06/99 00h00;94
06/06/99 03h00;94
06/06/99 06h00;94
06/06/99 09h00;77
06/06/99 12h00;59
06/06/99 15h00;56
06/06/99 18h00;63
06/06/99 21h00;82
07/06/99 00h00;88
07/06/99 03h00;88
07/06/99 06h00;88
07/06/99 09h00;88
07/06/99 12h00;77
07/06/99 15h00;77
07/06/99 18h00;68
07/06/99 21h00;82
08/06/99 00h00;88
08/06/99 03h00;94
08/06/99 06h00;94
08/06/99 09h00;68
08/06/99 12h00;59
08/06/99 15h00;46
08/06/99 18h00;49
08/06/99 21h0009/06/99 00h00;82
09/06/99 03h0009/06/99 06h00;82
09/06/99 09h0009/06/99 12h00;49
09/06/99 15h00;43
09/06/99 18h00;49
09/06/99 21h00;72
10/06/99 00h00;82
10/06/99 03h0010/06/99 06h00;88
10/06/99 09h00;73
10/06/99 12h00;57
10/06/99 15h0010/06/99 18h00;56
10/06/99 21h00;82
11/06/99 00h00;94
11/06/99 03h00;94
11/06/99 06h00;94
11/06/99 09h00;73
11/06/99 12h00;69
11/06/99 15h00;57
11/06/99 18h00;56
11/06/99 21h00;82
12/06/99 00h00;88
12/06/99 03h00;94
12/06/99 06h00;88
12/06/99 09h00;64
12/06/99 12h00;56
12/06/99 15h00;50
12/06/99 18h00;49
12/06/99 21h00;77
13/06/99 00h00;88
13/06/99 03h00;94
13/06/99 06h00;94
13/06/99 09h00;64
13/06/99 12h00;53
13/06/99 15h00;50
13/06/99 18h00;49
13/06/99 21h00;77
14/06/99 00h00;94
14/06/99 03h00;94
14/06/99 06h00;82
14/06/99 09h00;56
14/06/99 12h00;41
14/06/99 15h00;44
14/06/99 18h00;44
14/06/99 21h00;82
15/06/99 00h00;88
15/06/99 03h00;94
15/06/99 06h00;88
15/06/99 09h00;65
15/06/99 12h00;50
15/06/99 15h00;37
15/06/99 18h00;39
15/06/99 21h00;65
16/06/99 00h00;78
16/06/99 03h00;82
16/06/99 06h00;78
16/06/99 09h00;48
16/06/99 12h00;33
16/06/99 15h00;31
16/06/99 18h00;35
16/06/99 21h00;61
17/06/99 00h0017/06/99 03h00;73
17/06/99 06h00;73
17/06/99 09h00;61
17/06/99 12h00;39
17/06/99 15h00;45
17/06/99 18h00;48
17/06/99 21h00;78
18/06/99 00h00;78
18/06/99 03h00;78
18/06/99 06h00;83
18/06/99 09h00;61
18/06/99 12h00;45
18/06/99 15h00;51
18/06/99 18h00;57
18/06/99 21h00;83
19/06/99 00h00;94
19/06/99 03h00;94
19/06/99 06h00;94
19/06/99 09h00;50
